Date,market_sam,closing_sam,yesterday_sam,high_sam,low_sam,volume_sam,price_du,closing_sp,open_sp,high_sp,low_sp,closing_dji,open_dji,high_dji,low_dji,volume_dji,closing_cny,open_cny,high_cny,low_cny,change_cny,closing_jpy,open_jpy,high_jpy,low_jpy,change_jpy,closing_usd,open_usd,high_usd,low_usd,closing_sh,open_sh,high_sh,low_sh,volume_sh,price_kospi,yesterday_kospi,change_kospi,volume_kospi,money_kospi
2019-08-26,43050.0,43600.0,-350.0,43800.0,42950.0,7954949.0,58.87,2878.38,2866.7,2879.27,2856.0,25898.83,25826.05,25941.25,25716.39,222780000.0,169.59,170.97,172.09,169.54,-0.84,11.4264,11.5437,11.6426,11.4071,-0.76,1212.74,1213.65,1221.5,1212.46,2863.57,2851.02,2870.49,2849.24,16990000000,252.19,-3.92,-1.53,62611000,2490000000000.0
2019-08-23,43800.0,43950.0,-100.0,44200.0,43650.0,5017381.0,59.06,2847.11,2911.07,2927.01,2834.97,25628.9,26134.21,26320.29,25507.18,364260000.0,171.03,171.06,171.64,170.63,0.09,11.5143,11.3726,11.5642,11.3338,1.25,1213.66,1211.28,1217.93,1207.56,2897.43,2885.15,2902.46,2878.74,15920000000,256.11,-0.17,-0.07,54778000,2170000000000.0
2019-08-22,44500.0,44050.0,-450.0,44700.0,43850.0,8061177.0,59.27,2922.95,2930.94,2939.08,2904.51,26252.24,26271.64,26388.78,26099.01,222810000.0,170.88,170.25,171.06,170.19,0.38,11.3724,11.2773,11.4021,11.2763,0.84,1210.42,1202.49,1212.22,1202.49,2883.44,2887.66,2888.5,2867.55,14920000000,256.28,-2.1,-0.81,67254000,2790000000000.0
2019-08-21,44350.0,44500.0,50.0,44800.0,44150.0,6571717.0,59.3,2924.43,2922.04,2928.73,2917.91,26202.73,26145.36,26268.32,26141.77,208790000.0,170.24,170.87,171.43,170.0,-0.37,11.2773,11.3569,11.3819,11.2617,-0.7,1202.44,1206.4,1210.36,1199.5,2880.33,2875.47,2885.59,2872.56,15900000000,258.38,0.33,0.13,65481000,2540000000000.0
2019-08-20,43950.0,44450.0,850.0,44600.0,43550.0,8434205.0,59.12,2900.51,2919.01,2923.63,2899.6,25962.44,26086.86,26160.12,25952.0,238100000.0,170.87,171.98,172.14,170.76,-0.65,11.3565,11.3712,11.3946,11.328,-0.13,1206.4,1212.62,1214.3,1206.0,2880.0,2879.08,2892.08,2875.0,18970000000,258.05,2.94,1.15,81693000,2690000000000.0
2019-08-19,44350.0,43600.0,-300.0,44350.0,43500.0,6014218.0,58.93,2923.65,2913.48,2931.0,2913.48,26135.79,26020.06,26222.32,26020.06,252640000.0,171.99,171.57,172.25,171.41,0.23,11.3717,11.3658,11.415,11.3318,0.1,1212.62,1208.49,1214.31,1208.49,2883.1,2835.52,2883.1,2829.85,21450000000,255.11,1.21,0.48,66018000,2260000000000.0
2019-08-16,43800.0,43900.0,200.0,43900.0,43300.0,9528115.0,58.35,2888.68,2864.74,2893.63,2864.74,25886.01,25678.17,25929.65,25678.17,276210000.0,171.59,172.5,172.91,171.17,-0.53,11.3605,11.433,11.4708,11.3357,-0.63,1208.47,1213.33,1216.3,1205.5,2823.82,2817.57,2840.32,2811.8,14860000000,253.9,-0.96,-0.38,71830000,2760000000000.0
2019-08-14,43900.0,43700.0,700.0,44250.0,43500.0,8750135.0,58.71,2840.6,2894.15,2894.15,2839.64,25479.42,26035.08,26035.08,25471.59,357000000.0,173.24,171.26,173.62,171.21,1.13,11.4901,11.3041,11.5331,11.3029,1.65,1216.86,1206.64,1219.4,1206.2,2808.91,2824.49,2829.89,2807.72,14400000000,254.86,2.03,0.8,82238000,3280000000000.0
2019-08-13,43500.0,43000.0,-700.0,43500.0,42950.0,7276979.0,60.03,2926.32,2880.72,2943.31,2877.05,26279.91,25888.88,26426.97,25833.25,309610000.0,171.31,172.82,173.43,171.22,-0.82,11.304,11.577,11.6503,11.2937,-2.36,1206.64,1219.14,1224.96,1206.01,2797.26,2798.05,2802.04,2790.61,13090000000,252.83,-2.52,-0.99,76819000,2900000000000.0
2019-08-12,44000.0,43700.0,550.0,44000.0,43550.0,8466169.0,58.35,2883.75,2907.07,2907.58,2873.14,25907.37,26169.91,26178.95,25824.94,200580000.0,172.73,171.98,173.01,171.89,0.45,11.5772,11.502,11.6187,11.4868,0.74,1219.14,1214.72,1221.14,1214.15,2814.99,2781.98,2814.99,2776.62,13160000000,255.35,0.5,0.2,69377000,2570000000000.0
2019-08-09,43250.0,43150.0,500.0,43350.0,43050.0,9685147.0,58.31,2918.65,2930.51,2935.75,2900.15,26287.44,26337.09,26413.36,26097.64,241930000.0,171.96,171.48,172.39,171.34,0.28,11.4923,11.389000000000001,11.5645,11.3858,0.91,1214.45,1208.08,1217.48,1207.15,2774.75,2805.59,2808.33,2770.48,14820000000,254.85,2.45,0.97,117692000,3460000000000.0
2019-08-08,43250.0,42650.0,-550.0,43500.0,42650.0,16926881.0,57.47,2938.09,2896.21,2938.72,2894.47,26378.19,26086.52,26383.61,26038.1,283590000.0,171.48,171.94,172.32,171.23,-0.19,11.3889,11.4221,11.4726,11.3576,-0.22,1208.08,1213.87,1216.6,1206.31,2794.55,2784.18,2799.69,2782.24,14950000000,252.4,0.4,0.16,163707000,5070000000000.0
2019-08-07,43600.0,43200.0,-300.0,43900.0,43100.0,10002533.0,56.4,2883.98,2858.65,2892.17,2825.71,26007.07,25814.22,26073.21,25440.39,350090000.0,171.81,172.53,172.88,171.68,-0.51,11.4139,11.3872,11.5534,11.3863,0.16,1213.02,1212.58,1219.8,1211.14,2768.68,2789.02,2792.69,2768.68,15770000000,252.0,-1.41,-0.56,90744000,3400000000000.0
2019-08-06,42500.0,43500.0,-450.0,43800.0,42500.0,15083824.0,58.27,2881.77,2861.18,2884.4,2847.42,26029.52,25810.62,26038.68,25710.87,322970000.0,172.69,172.78,173.15,171.79,-0.06,11.3953,11.4996,11.5598,11.3052,-0.9,1213.43,1218.33,1221.13,1209.7,2777.56,2776.99,2787.42,2733.92,23110000000,253.41,-3.78,-1.47,123167000,4870000000000.0
2019-08-05,44350.0,43950.0,-1000.0,44600.0,43600.0,14214086.0,58.86,2844.74,2898.07,2898.07,2822.12,25717.74,26259.23,26259.23,25523.38,423370000.0,172.79,173.81,174.91,172.44,-0.44,11.4985,11.3115,11.529000000000002,11.2827,1.75,1218.33,1205.82,1221.29,1203.0,2821.5,2854.58,2863.69,2821.5,16740000000,257.19,-5.8,-2.21,131042000,4580000000000.0
2019-08-02,44550.0,44950.0,-250.0,45500.0,44300.0,12151374.0,60.56,2932.05,2943.9,2945.5,2914.11,26485.01,26528.66,26570.02,26249.22,335720000.0,173.56,173.3,173.92,171.75,0.08,11.3008,11.1368,11.3316,11.1044,1.4,1204.61,1195.48,1207.09,1190.9,2867.84,2861.33,2872.47,2851.44,18490000000,262.99,-2.74,-1.03,99663000,3880000000000.0
